Household_ID,Family_Size,Monthly_Income,Is_GI_Beneficiary,Primary_Earner_Gender,Raw_Material_Access,Training_Access,Satisfaction_Score,Income_Per_Member,Income_Per_Adult,Economic_Vulnerability,High_Income_Low_Satisfaction,Income_Efficiency,Raw_Material_Score,Total_Resource_Score,Resource_Training_Balance,Resource_Adequate,Full_Resource_Access,Monthly_Income_Zscore,Family_Size_Zscore,Satisfaction_Score_Zscore,Income_Percentile,Satisfaction_Percentile,Income_Quartile,Income_Outlier_Low,Income_Outlier_High,Female_Earner,Male_Earner,GI_Training_Synergy,Female_Training_Access,Female_GI_Beneficiary,Large_Family_High_Income,Female_GI_Training,Income_Category,Family_Size_Category,Satisfaction_Level,High_Satisfaction,Large_Family,Above_Median_Income,Satisfaction_Efficiency,Resource_Utilization,Basic_Success_Index,Artisan_Success_Index,Performance_Category,Established_Artisan,Growth_Potential,High_Support_Need,Market_Readiness
76,5,7163.0,0,Female,Easy,1,3,1432.6,2387.6666666666665,0,0,1193.8333333333333,3,4,3,1,1,-0.6837305305163568,-0.6336651443101895,-0.05830013140681635,0.2897196261682243,0.47478991596638653,Q2_Medium_Low,0,0,1,0,0,1,0,0,0,Medium,Medium,Medium,0,0,0,0.6,1432.6,1,0.25,Underperforming,0,0,0,0.7
77,8,8225.0,0,Female,Easy,1,3,1028.125,1370.8333333333333,1,0,913.8888888888889,3,4,3,1,1,-0.1419165923533717,0.926462142025932,-0.05830013140681635,0.4672897196261682,0.47478991596638653,Q2_Medium_Low,0,0,1,0,0,1,0,0,0,High,Large,Medium,0,1,0,0.6,1645.0,1,0.25,Underperforming,0,0,0,0.7
78,3,11302.0,1,Male,Easy,1,3,3767.3333333333335,11302.0,0,1,2825.5,3,4,3,1,1,1.4279153169945615,-1.673750001867604,-0.05830013140681635,0.9439252336448598,0.47478991596638653,Q4_High,0,1,0,1,1,0,0,0,0,Very_High,Small,Medium,0,0,1,0.6,2260.4,3,0.8,High_Performing,1,0,0,1.0
79,6,,1,Female,Moderate,0,2,,,0,0,,2,2,0,1,0,,-0.1136227155314823,-0.7520716951479297,,0.2857142857142857,,0,0,1,0,0,0,1,0,0,,Medium,Low,0,0,0,0.6666666666666666,,1,0.25,Underperforming,0,0,0,0.5
80,4,8933.0,1,Male,Moderate,1,4,2233.25,4466.5,0,0,1786.6,2,3,2,1,0,0.219292699755285,-1.1537075730888966,0.635471432334297,0.5887850467289719,0.680672268907563,Q3_Medium_High,0,0,0,1,1,0,0,0,0,High,Small,High,1,0,1,1.0,2233.25,4,1.0,High_Performing,1,0,0,0.8999999999999999
81,6,9524.0,1,Male,Difficult,0,5,1587.3333333333333,2381.0,0,0,1360.5714285714287,1,1,0,0,0,0.5208106257951383,-0.1136227155314823,1.3292429960754104,0.6822429906542056,0.8907563025210085,Q3_Medium_High,0,0,0,1,0,0,0,1,0,High,Medium,Very_High,1,0,1,2.5,4762.0,3,0.75,Average,0,0,0,0.39999999999999997
82,4,9586.0,1,Male,Difficult,0,1,2396.5,4793.0,0,1,1917.2,1,1,0,0,0,0.5524419479854444,-1.1537075730888966,-1.445843258889043,0.6915887850467289,0.10504201680672269,Q3_Medium_High,0,0,0,1,0,0,0,0,0,High,Small,Very_Low,0,0,1,0.5,4793.0,2,0.55,Average,0,0,0,0.39999999999999997
83,8,8556.0,0,Male,Moderate,0,4,1069.5,1426.0,0,0,950.6666666666666,2,2,0,1,0,0.026953853533585037,0.926462142025932,0.635471432334297,0.5046728971962616,0.680672268907563,Q2_Medium_Low,0,0,0,1,0,0,0,1,0,High,Large,High,1,1,0,1.3333333333333333,2852.0,1,0.2,Underperforming,0,0,0,0.19999999999999998
84,8,6105.0,1,Male,Difficult,0,3,763.125,1017.5,1,0,678.3333333333334,1,1,0,0,0,-1.2235037382154512,0.926462142025932,-0.05830013140681635,0.12149532710280374,0.47478991596638653,Q1_Low,1,0,0,1,0,0,0,0,0,Medium,Large,Medium,0,1,0,1.5,3052.5,1,0.25,Underperforming,0,0,1,0.39999999999999997
85,8,10079.0,0,Male,Difficult,0,4,1259.875,1679.8333333333333,0,0,1119.888888888889,1,1,0,0,0,0.8039619776599751,0.926462142025932,0.635471432334297,0.7663551401869159,0.680672268907563,Q4_High,0,1,0,1,0,0,0,1,0,Very_High,Large,High,1,1,1,2.0,5039.5,2,0.5,Average,0,0,0,0.09999999999999999
86,4,9362.0,1,Male,Moderate,1,5,2340.5,4681.0,0,0,1872.4,2,3,2,1,0,0.4381610420075643,-1.1537075730888966,1.3292429960754104,0.6355140186915887,0.8907563025210085,Q3_Medium_High,0,0,0,1,1,0,0,0,0,High,Small,Very_High,1,0,1,1.25,2340.5,4,1.0,High_Performing,1,0,0,0.8999999999999999
87,6,6306.0,0,Male,Easy,1,1,1051.0,1576.5,1,0,900.8571428571429,3,4,3,1,1,-1.1209570324049427,-0.1136227155314823,-1.445843258889043,0.14018691588785046,0.10504201680672269,Q1_Low,1,0,0,1,0,0,0,0,0,Medium,Medium,Very_Low,0,0,0,0.2,1261.2,1,0.25,Underperforming,0,0,0,0.7
88,8,7135.0,1,Female,Easy,0,1,891.875,1189.1666666666667,1,0,792.7777777777778,3,3,0,1,0,-0.6980156437635918,0.926462142025932,-1.445843258889043,0.2803738317757009,0.10504201680672269,Q2_Medium_Low,0,0,1,0,0,0,1,0,0,Medium,Large,Very_Low,0,1,0,0.25,1783.75,1,0.25,Underperforming,0,0,1,0.6
89,7,10275.0,1,Female,Easy,0,5,1467.857142857143,2055.0,0,0,1284.375,3,3,0,1,0,0.9039577703906202,0.40641971324722487,1.3292429960754104,0.8317757009345794,0.8907563025210085,Q4_High,0,1,1,0,0,0,1,1,0,Very_High,Large,Very_High,1,1,1,1.25,2568.75,3,0.75,Average,0,0,0,0.6
90,9,9710.0,0,Male,Easy,1,5,1078.888888888889,1387.142857142857,0,0,971.0,3,4,3,1,1,0.6157045923660566,1.4465045708046391,1.3292429960754104,0.719626168224299,0.8907563025210085,Q3_Medium_High,0,0,0,1,0,0,0,1,0,High,Very_Large,Very_High,1,1,1,1.0,1942.0,3,0.75,Average,0,1,0,0.7
91,4,7059.0,1,Female,Easy,1,3,1764.75,3529.5,0,0,1411.8,3,4,3,1,1,-0.7367895225775154,-1.1537075730888966,-0.05830013140681635,0.27102803738317754,0.47478991596638653,Q2_Medium_Low,0,0,1,0,1,1,1,0,1,Medium,Small,Medium,0,0,0,0.6,1411.8,2,0.5,Average,0,0,0,1.0
92,4,7960.0,1,Female,Difficult,1,1,1990.0,3980.0,0,0,1592.0,1,2,1,0,0,-0.2771149855861316,-1.1537075730888966,-1.445843258889043,0.38317757009345793,0.10504201680672269,Q2_Medium_Low,0,0,1,0,1,1,1,0,1,Medium,Small,Very_Low,0,0,0,0.3333333333333333,2653.3333333333335,2,0.5,Average,0,0,0,0.7999999999999999
93,6,8213.0,0,Female,Difficult,0,4,1368.8333333333333,2053.25,1,0,1173.2857142857142,1,1,0,0,0,-0.14803878374504387,-0.1136227155314823,0.635471432334297,0.4485981308411215,0.680672268907563,Q2_Medium_Low,0,0,1,0,0,0,0,0,0,High,Medium,High,1,0,0,2.0,4106.5,1,0.2,Underperforming,0,0,0,0.09999999999999999
94,4,9734.0,0,Male,Easy,1,2,2433.5,4867.0,0,1,1946.8,3,4,3,1,1,0.6279489751494008,-1.1537075730888966,-0.7520716951479297,0.7289719626168224,0.2857142857142857,Q3_Medium_High,0,0,0,1,0,0,0,0,0,High,Small,Low,0,0,1,0.4,1946.8,2,0.55,Average,0,0,0,0.7
95,4,,1,Male,Easy,1,2,,,0,0,,3,4,3,1,1,,-1.1537075730888966,-0.7520716951479297,,0.2857142857142857,,0,0,0,1,1,0,0,0,0,,Small,Low,0,0,0,0.4,,2,0.5,Average,0,0,0,1.0
96,8,8631.0,1,Male,Easy,1,5,1078.875,1438.5,0,0,959.0,3,4,3,1,1,0.06521754973153596,0.926462142025932,1.3292429960754104,0.514018691588785,0.8907563025210085,Q3_Medium_High,0,0,0,1,1,0,0,1,0,High,Large,Very_High,1,1,1,1.0,1726.2,4,1.0,High_Performing,1,0,0,1.0
97,6,10838.0,1,Male,Moderate,1,3,1806.3333333333333,2709.5,0,1,1548.2857142857142,2,3,2,1,0,1.1911905831832386,-0.1136227155314823,-0.05830013140681635,0.9158878504672897,0.47478991596638653,Q4_High,0,1,0,1,1,0,0,1,0,Very_High,Medium,Medium,0,0,1,0.75,2709.5,3,0.8,High_Performing,1,0,0,0.8999999999999999
98,8,10246.0,0,Female,Moderate,0,2,1280.75,1707.6666666666667,0,1,1138.4444444444443,2,2,0,1,0,0.8891624745274125,0.926462142025932,-0.7520716951479297,0.822429906542056,0.2857142857142857,Q4_High,0,1,1,0,0,0,0,1,0,Very_High,Large,Low,0,1,1,0.6666666666666666,3415.3333333333335,1,0.3,Underperforming,0,0,0,0.19999999999999998
99,9,8911.0,1,Male,Difficult,1,1,990.1111111111111,1273.0,0,1,891.1,1,2,1,0,0,0.20806868220388608,1.4465045708046391,-1.445843258889043,0.5700934579439252,0.10504201680672269,Q3_Medium_High,0,0,0,1,1,0,0,1,0,High,Very_Large,Very_Low,0,1,1,0.3333333333333333,2970.3333333333335,3,0.8,High_Performing,1,0,0,0.7999999999999999
100,9,5613.0,1,Female,Moderate,0,5,623.6666666666666,801.8571428571429,1,0,561.3,2,2,0,1,0,-1.4745135852740092,1.4465045708046391,1.3292429960754104,0.07476635514018691,0.8907563025210085,Q1_Low,1,0,1,0,0,0,1,0,0,Low,Very_Large,Very_High,1,1,0,1.6666666666666667,1871.0,2,0.45,Average,0,0,1,0.5
101,8,6444.0,1,Female,Difficult,1,4,805.5,1074.0,1,0,716.0,1,2,1,0,0,-1.050551831400713,0.926462142025932,0.635471432334297,0.1588785046728972,0.680672268907563,Q1_Low,1,0,1,0,1,1,1,0,1,Medium,Large,High,1,1,0,1.3333333333333333,2148.0,3,0.7,Average,0,0,0,0.7999999999999999
102,9,9982.0,1,Female,Difficult,0,5,1109.111111111111,1426.0,0,0,998.2,1,1,0,0,0,0.7544742639106252,1.4465045708046391,1.3292429960754104,0.7570093457943925,0.8907563025210085,Q4_High,0,1,1,0,0,0,1,1,0,High,Very_Large,Very_High,1,1,1,2.5,4991.0,3,0.75,Average,0,0,0,0.39999999999999997
103,6,5078.0,0,Male,Easy,1,4,846.3333333333334,1269.5,1,0,725.4285714285714,3,4,3,1,1,-1.7474612848193924,-0.1136227155314823,0.635471432334297,0.037383177570093455,0.680672268907563,Q1_Low,1,0,0,1,0,0,0,0,0,Low,Medium,High,1,0,0,0.8,1015.6,2,0.45,Average,0,1,0,0.7
104,3,8737.0,1,Male,Difficult,1,5,2912.3333333333335,8737.0,0,0,2184.25,1,2,1,0,0,0.11929690702463994,-1.673750001867604,1.3292429960754104,0.5233644859813084,0.8907563025210085,Q3_Medium_High,0,0,0,1,1,0,0,0,0,High,Small,Very_High,1,0,1,1.6666666666666667,2912.3333333333335,4,1.0,High_Performing,1,0,0,0.7999999999999999
105,8,10500.0,0,Male,Moderate,0,5,1312.5,1750.0,0,0,1166.6666666666667,2,2,0,1,0,1.0187488589844729,0.926462142025932,1.3292429960754104,0.8785046728971962,0.8907563025210085,Q4_High,0,1,0,1,0,0,0,1,0,Very_High,Large,Very_High,1,1,1,1.6666666666666667,3500.0,2,0.5,Average,0,0,0,0.19999999999999998
106,7,8804.0,1,Female,Moderate,0,5,1257.7142857142858,1760.8,0,0,1100.5,2,2,0,1,0,0.1534791422948094,0.40641971324722487,1.3292429960754104,0.5514018691588785,0.8907563025210085,Q3_Medium_High,0,0,1,0,0,0,1,1,0,High,Large,Very_High,1,1,1,1.6666666666666667,2934.6666666666665,3,0.75,Average,0,0,0,0.5
107,7,7297.0,1,Male,Moderate,0,4,1042.4285714285713,1459.4,1,0,912.125,2,2,0,1,0,-0.6153660599760178,0.40641971324722487,0.635471432334297,0.32710280373831774,0.680672268907563,Q2_Medium_Low,0,0,0,1,0,0,0,0,0,Medium,Large,High,1,1,0,1.3333333333333333,2432.3333333333335,2,0.45,Average,0,0,0,0.5
108,4,,1,Male,Difficult,0,4,,,0,0,,1,1,0,0,0,,-1.1537075730888966,0.635471432334297,,0.680672268907563,,0,0,0,1,0,0,0,0,0,,Small,High,1,0,0,2.0,,2,0.45,Average,0,0,0,0.39999999999999997
109,9,10132.0,1,Male,Moderate,0,5,1125.7777777777778,1447.4285714285713,0,0,1013.2,2,2,0,1,0,0.8310016563065271,1.4465045708046391,1.3292429960754104,0.7757009345794392,0.8907563025210085,Q4_High,0,1,0,1,0,0,0,1,0,Very_High,Very_Large,Very_High,1,1,1,1.6666666666666667,3377.3333333333335,3,0.75,Average,0,0,0,0.5
110,7,9443.0,0,Male,Difficult,1,2,1349.0,1888.6,0,1,1180.375,1,2,1,0,0,0.4794858339013513,0.40641971324722487,-0.7520716951479297,0.6635514018691588,0.2857142857142857,Q3_Medium_High,0,0,0,1,0,0,0,1,0,High,Large,Low,0,1,1,0.6666666666666666,3147.6666666666665,2,0.55,Average,0,0,0,0.5
111,4,7929.0,0,Female,Difficult,0,3,1982.25,3964.5,0,0,1585.8,1,1,0,0,0,-0.2929306466812847,-1.1537075730888966,-0.05830013140681635,0.37383177570093457,0.47478991596638653,Q2_Medium_Low,0,0,1,0,0,0,0,0,0,Medium,Small,Medium,0,0,0,1.5,3964.5,0,0.0,Underperforming,0,0,0,0.09999999999999999
112,3,10630.0,1,Female,Moderate,1,3,3543.3333333333335,10630.0,0,1,2657.5,2,3,2,1,0,1.0850725990609214,-1.673750001867604,-0.05830013140681635,0.897196261682243,0.47478991596638653,Q4_High,0,1,1,0,1,1,1,0,1,Very_High,Small,Medium,0,0,1,0.75,2657.5,3,0.8,High_Performing,1,0,0,0.8999999999999999
113,6,10207.0,0,Male,Difficult,0,3,1701.1666666666667,2551.75,0,1,1458.142857142857,1,1,0,0,0,0.869265352504478,-0.1136227155314823,-0.05830013140681635,0.8037383177570093,0.47478991596638653,Q4_High,0,1,0,1,0,0,0,1,0,Very_High,Medium,Medium,0,0,1,1.5,5103.5,1,0.3,Underperforming,0,0,0,0.09999999999999999
114,6,12077.0,1,Female,Moderate,0,4,2012.8333333333333,3019.25,0,0,1725.2857142857142,2,2,0,1,0,1.8233068443733877,-0.1136227155314823,0.635471432334297,0.9719626168224299,0.680672268907563,Q4_High,0,1,1,0,0,0,1,1,0,Very_High,Medium,High,1,0,1,1.3333333333333333,4025.6666666666665,3,0.75,Average,0,0,0,0.5
115,6,9633.0,0,Male,Moderate,0,4,1605.5,2408.25,0,0,1376.142857142857,2,2,0,1,0,0.5764205309361603,-0.1136227155314823,0.635471432334297,0.7009345794392523,0.680672268907563,Q3_Medium_High,0,0,0,1,0,0,0,1,0,High,Medium,High,1,0,1,1.3333333333333333,3211.0,2,0.5,Average,0,0,0,0.19999999999999998
116,7,8170.0,1,Male,Moderate,1,2,1167.142857142857,1634.0,1,0,1021.25,2,3,2,1,0,-0.16997663623186904,0.40641971324722487,-0.7520716951479297,0.4205607476635514,0.2857142857142857,Q2_Medium_Low,0,0,0,1,1,0,0,0,0,High,Large,Low,0,1,0,0.5,2042.5,2,0.5,Average,0,0,0,0.8999999999999999
117,3,8214.0,1,Male,Easy,1,3,2738.0,8214.0,0,0,2053.5,3,4,3,1,1,-0.14752860112907118,-1.673750001867604,-0.05830013140681635,0.45794392523364486,0.47478991596638653,Q2_Medium_Low,0,0,0,1,1,0,0,0,0,High,Small,Medium,0,0,0,0.6,1642.8,2,0.5,Average,0,0,0,1.0
118,7,4630.0,1,Male,Difficult,0,3,661.4285714285714,926.0,1,0,578.75,1,1,0,0,0,-1.9760230967751526,0.40641971324722487,-0.05830013140681635,0.018691588785046728,0.47478991596638653,Q1_Low,1,0,0,1,0,0,0,0,0,Low,Large,Medium,0,1,0,1.5,2315.0,1,0.25,Underperforming,0,0,1,0.39999999999999997
119,9,8801.0,1,Male,Moderate,1,5,977.8888888888889,1257.2857142857142,0,0,880.1,2,3,2,1,0,0.15194859444689138,1.4465045708046391,1.3292429960754104,0.5420560747663551,0.8907563025210085,Q3_Medium_High,0,0,0,1,1,0,0,1,0,High,Very_Large,Very_High,1,1,1,1.25,2200.25,4,1.0,High_Performing,1,0,0,0.8999999999999999
